production_roots,BabciaTobiasz;AppHost;BabciaScanPipeline;DreamRoomEngine
total_matches,720
unique_files,85
excluded_paths,.build;.git;DerivedData;External;LiquidGlassLab;TempDreamStuff;Tests;design-system;remediations
counts_by_category
ButtonStyle,92
Color,127
Gradient,3
Opacity,47
SemanticColor,119
Shadow,8
Shape,11
Spacing,253
Typography,60
counts_by_severity
Critical,10
High,279
Medium,264
Low,167
top_offenders
BabciaTobiasz/Shared/Components/SkeletonLoadingView.swift,41
BabciaTobiasz/Features/Areas/AreaFormView.swift,35
BabciaTobiasz/Features/Areas/AreaRowView.swift,33
BabciaTobiasz/Features/Settings/SettingsView.swift,29
BabciaTobiasz/DesignSystem/DesignSystemTheme.swift,27
BabciaTobiasz/Features/Settings/CameraSetupView.swift,27
BabciaTobiasz/Shared/Components/OnboardingView.swift,25
BabciaTobiasz/Shared/Extensions/Color+Extensions.swift,23
BabciaTobiasz/Shared/Components/BabciaPersonaSelectionView.swift,21
BabciaTobiasz/Features/Areas/AreaListView.swift,19
BabciaTobiasz/Features/Gallery/GalleryDetailView.swift,18
BabciaTobiasz/Shared/Components/ErrorView.swift,17
BabciaTobiasz/Features/Settings/HomeAssistantQuickAddView.swift,16
BabciaTobiasz/Features/Home/Components/ShopCard.swift,15
BabciaTobiasz/Features/SpotCheck/SpotCheckView.swift,14
BabciaTobiasz/Shared/Components/LoadingIndicatorView.swift,13
BabciaTobiasz/Features/Settings/Analytics/AnalyticsView.swift,13
BabciaTobiasz/Features/Home/Components/LatestDreamCard.swift,12
BabciaTobiasz/Features/Home/HomeView.swift,11
BabciaTobiasz/Features/Home/Components/PatternsSummaryCard.swift,11
BabciaTobiasz/App/BabciaTobiaszAppView.swift,10
BabciaTobiasz/Features/Areas/AreaDetailView.swift,10
BabciaTobiasz/Shared/Components/CameraPermissionPrimerView.swift,10
BabciaTobiasz/Shared/Components/DreamHeaderPlaceholderView.swift,10
BabciaTobiasz/Features/Settings/ChangelogView.swift,9
design_token_structure,DesignSystemTheme defines palette gradients typography motion shape grid glass elevation groups in BabciaTobiasz/DesignSystem/DesignSystemTheme.swift
